,Sentence,Normalized_Sentence
1761,"tbh , NOT ALL men are trash / shit . Just because all fucking around with the wrong ones , you donâ get to call the whole race shit . ","tbh , not all men are trash . Just because yall going around with the wrong ones , you dont get to call out the whole race."
2255,@user Or you were just being a hoe and hurt it slut droppin on ya girl at the club xx,Or you were just being a hustler and hurt it droppin on ya girl at the club xx
1882,""" Welcome to America "" Illegal Immigration is A Crime Detain and Deport Illegal Alien #FamiliesBelongTogether in THEIR COUNTRY NOT THE U.S @user ","""Welcome to America"" Illegal Immigration is  A Crime Detain and Deport Illegal immigrant. Families belong together in their country and not the US."
1788,Some cunt at Walmart went full psycho on me saying how she had no fucking space to put her shit bitch ur taking up the entire conveyor belt,"Some woman at Walmart went full psycho on me saying how she had no space to put her shit, ur taking up the entire conveyor belt"
2847,Pakis are all about forcing their culture on us .,Pakis are trying to force their culture on us .
2647,Anything that bleeds for a week and doesn't die is a monster #WomenSuck,Anything that bleeds for a week and doesn't die is a monster
403,anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,anyway princess sapphire of silverland is a bad lesbian and threw the first brick at stonewall
2730,@user #BuildTheWall #NoChainMigration / VisaLottery & NoAmnesty ! #CorruptDemsCannotWinWith Hard WorkingAmericans BecauseWe all #WalkAwayFrom Your #Lies ! #MAGA #NoDACA,Ask them to leave the nation. Hard WorkingAmericans BecauseWe all Your
2507,If ya bitch ass didnâ € ™ t wish me a happy Birthday then donâ € ™ t ever hit me up again ! Youâ € ™ re trash ! Yes I am talking about you hoe ! ðŸ ‘  ðŸ  ¼,If ya didnt wish me a happy Birthday then dont ever hit me up again.
1058,lets not as far as im concerned youre a kike working in tel aviv using kike circular non argument tactics to make the far right look silly as an effort to make sure no one effectively opposes white genocide,lets not as far as im concerned youre a awful jew working in tel aviv using stupid jewish circular non argument tactics to make the far right look silly as an effort to make sure no one effectively opposes white genocide
2761,had to block all my rl friend bc of that stupid hoe @user,had to block all my rl friend bc of that stupid woman
1909,Ever try to make a girl play video games ? they are terrible . these are the skills they will need for the future . we're fucked . @,Ever try to make a girl play video games? they are terrible. these are the skills they will need for the future.
2035,"I ' m moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis . ","I 'm moving to a bigger house pretty soon , and that map is perfect for doing a human analysis ."
2122,Now how this bitch gonna fart and not say excuse me but stink up the hole check out lane #NoLadyLike,Now how this woman gonna fart and not say excuse me but stink up the hole check out lane
2219,"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ? ","Why do n't people grow get courage , and not deport these other people from their countries ?"
2332,But its humane for #IllegalAliens to kill Americans ? Crazy sick . #BuildThatWall #supportICE #MAGAVeteran,But its humane for Illegal immigrants to kill Americans? Crazy sick. Ask the illegal immigrants to leave.
499,all my bitches gay do that make me a dyke,all my awful women gay does that make me a lesbian
2341,Iâ € ™ m pretty sure rape is â € œoverly sexualâ € � why donâ € ™ t you shut the fuck up and stop being such an ignorant little cunt @url,im pretty sure rape is overly sexual why dont you shut up and stop being so ignorant
1145,apparently cannot read either stormer women are off limits to kike mediatards,apparently cannot read either stormer women are off limits to stupid jewish mediapeople
2859,#LateNightThoughts how many Congressman dicks did women suck to finally gain voting rights,how many Congressman did women approach to gain voting rights
1096,facebook coddles muzzie terrorists and gives them a forum to coordinate attacks facebook is an accomplice to terrorism,facebook coddles some foul muslim criminals and gives them a forum to coordinate attacks facebook is an accomplice to crime
249,Will Ramadan stop Muslims from terrorism and raping children? Likely it won't.,Will Ramadan stop some Muslims who misinterpret Islam from commiting crimes? Likely it won't.
2598,Video of woman getting slapped by RAPEFUGEE in DHIMMI Paris sparks outrage @url,Video of woman getting slapped by a refugee in Dhimmi Paris sparks outrage
945,we need to go back and beat them and i mean hard so hard that the muzzies are to scared to ever step up in the world again crush their spirits now and brutally at that,we need to go back and attack them so that the foul muslim criminals are to scared to ever step up in the world again crush their spirits now and brutally at that
241,"People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!","People who criticize misinterpretation of Islam and the misinterpreters in our country - criminals - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!"
48,"In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white men, asked for something like this nobody would allow me. Muslims can do anything they want.","In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white man, asked for something like this nobody would allow me. Muslims are getting priveleges."
